1263 SFA 12:0 (G),1222 Alanine (G),1259 SFA 4:0 (G),"1101 Manganese, Mn (MG)",1301 SFA 24:0 (G),"1120 Cryptoxanthin, beta (UG)","1177 Folate, total (UG)",1278 PUFA 2:5 n-3 (EPA) (G),1221 Histidine (G),"1293 Fatty acids, total polyunsaturated (G)",1276 PUFA 18:4 (G),"1127 Tocopherol, delta (MG)",1280 PUFA 22:5 n-3 (DPA) (G),"1110 Vitamin D (D2 + D3), International Units (IU)",1253 Cholesterol (MG),"1313 PUFA 20:2 n-6 c,c (G)","1091 Phosphorus, P (MG)","1018 Alcohol, ethyl (G)",1166 Riboflavin (MG),1062 Energy (kJ),"1104 Vitamin A, IU (IU)","1092 Potassium, K (MG)",1008 Energy (KCAL),1213 Leucine (G),1215 Methionine (G),1165 Thiamin (MG),name,1279 MUFA 22:1 (G),"1130 Tocotrienol, gamma (MG)",1214 Lysine (G),"1125 Tocopherol, beta (MG)",1288 Beta-sitosterol (MG),1274 MUFA 14:1 (G),1272 PUFA 22:6 n-3 (DHA) (G),1223 Aspartic acid (G),1014 Maltose (G),1262 SFA 10:0 (G),1283 Phytosterols (MG),"1187 Folate, food (UG)","1099 Fluoride, F (UG)","1162 Vitamin C, total ascorbic acid (MG)","1106 Vitamin A, RAE (UG)",1273 SFA 22:0 (G),1277 MUFA 20:1 (G),"1090 Magnesium, Mg (MG)",1011 Glucose (dextrose) (G),1170 Pantothenic acid (MG),1275 MUFA 16:1 (G),1216 Cystine (G),1264 SFA 14:0 (G),"1126 Tocopherol, gamma (MG)",1271 PUFA 20:4 (G),1198 Betaine (MG),"1087 Calcium, Ca (MG)",1175 Vitamin B-6 (MG),1210 Tryptophan (G),"1108 Carotene, alpha (UG)",1217 Phenylalanine (G),1010 Sucrose (G),1051 Water (G),1178 Vitamin B-12 (UG),1220 Arginine (G),"1257 Fatty acids, total trans (G)",1004 Total lipid (fat) (G),1325 PUFA 20:3 (G),description,1007 Ash (G),"1131 Tocotrienol, delta (MG)",1227 Serine (G),"1079 Fiber, total dietary (G)","1089 Iron, Fe (MG)","1107 Carotene, beta (UG)",1218 Tyrosine (G),1226 Proline (G),1185 Vitamin K (phylloquinone) (UG),1333 MUFA 15:1 (G),1057 Caffeine (MG),"1235 Sugars, added (G)","1103 Selenium, Se (UG)",1260 SFA 6:0 (G),1009 Starch (G),"1098 Copper, Cu (MG)",1114 Vitamin D (D2 + D3) (UG),1299 SFA 15:0 (G),1268 MUFA 18:1 (G),1003 Protein (G),1266 SFA 18:0 (G),"1258 Fatty acids, total saturated (G)","1292 Fatty acids, total monounsaturated (G)",1219 Valine (G),1300 SFA 17:0 (G),1013 Lactose (G),1267 SFA 20:0 (G),1261 SFA 8:0 (G),1212 Isoleucine (G),1225 Glycine (G),1058 Theobromine (MG),1012 Fructose (G),1123 Lutein + zeaxanthin (UG),"1190 Folate, DFE (UG)",1265 SFA 16:0 (G),1270 PUFA 18:3 (G),1122 Lycopene (UG),"1246 Vitamin B-12, added (UG)",1211 Threonine (G),1109 Vitamin E (alpha-tocopherol) (MG),"1129 Tocotrienol, beta (MG)",1075 Galactose (G),"1128 Tocotrienol, alpha (MG)",1186 Folic acid (UG),1105 Retinol (UG),1285 Stigmasterol (MG),1224 Glutamic acid (G),"1180 Choline, total (MG)",1269 PUFA 18:2 (G),"2000 Sugars, total including NLEA (G)","1242 Vitamin E, added (MG)",1167 Niacin (MG),1184 Vitamin K (Dihydrophylloquinone) (UG),"1093 Sodium, Na (MG)","1005 Carbohydrate, by difference (G)",1323 MUFA 17:1 (G),1286 Campesterol (MG),"1095 Zinc, Zn (MG)"
0.0,,0.0,,,193,17.0,0.0,,0.171,0.0,,0.0,,0.0,,19.0,0.0,0.09,,,186,71.0,,,0.037,Kumquats,0.0,,,,,,0.0,,,0.0,,17.0,,43.9,15.0,,0.0,20.0,,,0.021,,0.004,,0.0,,62.0,0.036,,155,,,80.8,0.0,,,0.86,,"Kumquat, raw",,,,6.5,0.86,0.0,,,0.0,,0.0,,0.0,0.0,,0.095,0.0,,0.137,1.88,0.004,0.103,0.154,,,,,0.0,,,0.0,,129,17.0,0.09,0.047,0.0,0.0,,0.15,,,,0.0,0.0,,,8.4,0.124,9.36,0.0,0.429,,10.0,15.9,,,0.17
0.0,,0.0,,,20.0,11.0,0.0,,0.089,0.0,,0.0,,0.0,,16.0,0.0,0.02,,,138,29.0,,,0.04,Lemon,0.0,,,,,,0.0,,,0.0,,11.0,,53.0,1.0,,0.0,8.0,,,0.001,,0.001,,0.0,,26.0,0.08,,1.0,,,89.0,0.0,,,0.3,,"Lemon, raw",,,,2.8,0.6,3.0,,,0.0,,0.0,,0.4,0.0,,0.037,0.0,,0.01,1.1,0.002,0.039,0.011,,,,,0.0,,,0.0,,11.0,11.0,0.035,0.026,0.0,0.0,,0.15,,,,0.0,0.0,,,5.1,0.063,2.5,0.0,0.1,,2.0,9.32,,,0.06
0.0,,0.0,,,0.0,8.0,0.0,,0.055,0.0,,0.0,,0.0,,18.0,0.0,0.02,,,102,30.0,,,0.03,Limes,0.0,,,,,,0.0,,,0.0,,8.0,,29.1,2.0,,0.0,6.0,,,0.003,,0.001,,0.0,,33.0,0.043,,0.0,,,88.3,0.0,,,0.2,,"Lime, raw",,,,2.8,0.6,30.0,,,0.6,,0.0,,0.4,0.0,,0.065,0.0,,0.016,0.7,0.001,0.022,0.019,,,,,0.0,,,0.0,,0.0,8.0,0.02,0.019,0.0,0.0,,0.22,,,,0.0,0.0,,,5.1,0.036,1.69,0.0,0.2,,2.0,10.5,,,0.11
0.0,,0.0,,,0.0,14.0,0.0,,0.132,0.0,,0.0,,0.0,,31.0,0.0,0.065,,,171,66.0,,,0.011,Lychee,0.0,,,,,,0.0,,,0.0,,14.0,,71.5,0.0,,0.0,10.0,,,0.001,,0.002,,0.0,,5.0,0.1,,0.0,,,81.8,0.0,,,0.44,,Lychee,,,,1.3,0.31,0.0,,,0.4,,0.0,,0.6,0.0,,0.148,0.0,,0.119,0.83,0.024,0.099,0.12,,,,,0.0,,,0.0,,0.0,14.0,0.07,0.065,0.0,0.0,,0.07,,,,0.0,0.0,,,7.1,0.067,15.2,0.0,0.603,,1.0,16.5,,,0.07
0.0,0.028,0.0,0.039,,407,16.0,0.0,0.011,0.065,0.0,0.0,0.0,0.0,0.0,,20.0,0.0,0.036,223,681,166,53.0,0.028,0.002,0.058,Mandarine,0.0,0.0,0.032,0.0,,,0.0,0.129,0.0,0.0,,16.0,,26.7,34.0,,0.0,12.0,2.13,0.216,0.007,0.002,0.002,0.0,0.0,0.1,37.0,0.078,0.002,101,0.018,6.05,85.2,0.0,0.068,0.0,0.31,,"Tangerines, (mandarin oranges), raw",0.38,0.0,0.033,1.8,0.15,155,0.015,0.074,0.0,,0.0,,0.1,0.0,0.0,0.042,0.0,,0.053,0.81,0.002,0.039,0.06,0.021,,0.0,,0.0,0.017,0.019,0.0,2.4,138,16.0,0.035,0.018,0.0,0.0,0.016,0.2,0.0,0.0,0.05,0.0,0.0,,0.061,10.2,0.048,10.6,0.0,0.376,0.0,2.0,13.3,,,0.07
0.001,,0.0,,,10.0,43.0,0.0,,0.071,0.0,,0.0,,0.0,,14.0,0.0,0.038,,,168,60.0,,,0.028,Mango,0.0,,,,,,0.0,,,0.0,,43.0,,36.4,54.0,,0.0,10.0,,,0.067,,0.013,,0.0,,11.0,0.119,,9.0,,,83.5,0.0,,,0.38,,"Mango, raw",,,,1.6,0.16,640,,,4.2,,0.0,,0.6,0.0,,0.111,0.0,,0.075,0.82,0.004,0.092,0.14,,,,,0.0,,,0.0,,23.0,43.0,0.072,0.051,3.0,0.0,,0.9,,,,0.0,0.0,,,7.6,0.019,13.7,0.0,0.669,,1.0,15.0,,,0.09
,,,0.102,,9.0,31.0,,,,,,,0.0,0.0,,8.0,,0.054,305,35.0,48.0,73.0,,,0.054,Mangostan,,,,,,,,,,,,31.0,,2.9,2.0,,,13.0,,0.032,,,,,,,12.0,0.018,,1.0,,,80.9,0.0,,0.0,0.58,,"Mangosteen, canned, syrup pack",0.16,,,1.8,0.3,16.0,,,,,,,,,,0.069,0.0,,,0.41,,,,,,,,,,,,,,31.0,,,,,,,,,,0.0,,,,,,,,0.286,,7.0,17.9,,,0.21
0.0,,0.0,,,41.0,14.0,0.0,,0.411,0.0,,0.0,,0.0,,68.0,0.0,0.13,,,348,97.0,,,0.0,Maracuja,0.0,,,,,,0.0,,,0.0,,14.0,,30.0,64.0,,0.0,29.0,,,0.0,,0.0,,0.0,,12.0,0.1,,0.0,,,72.9,0.0,,,0.7,,"Passion fruit, raw",,,,10.4,1.6,743,,,0.7,,0.0,,0.6,0.0,,0.086,0.0,,0.086,2.2,0.014,0.059,0.086,,,,,0.0,,,0.0,,0.0,14.0,0.045,0.001,0.0,0.0,,0.02,,,,0.0,0.0,,,7.6,0.41,11.2,0.0,1.5,,28.0,23.4,,,0.1
0.001,,0.0,,,0.0,8.0,0.0,,0.039,0.0,,0.0,,0.0,,5.0,0.0,0.031,,,182,28.0,,,0.015,Melon,0.0,,,,,,0.0,,,0.0,,8.0,,21.8,0.0,,0.0,11.0,,,0.0,,0.001,,0.0,,11.0,0.163,,0.0,,,91.8,0.0,,,0.1,,"Cassaba melon, raw",,,,0.9,0.34,0.0,,,2.5,,0.0,,0.4,0.0,,0.06,0.0,,0.002,1.11,0.002,0.025,0.002,,,,,0.0,,,0.0,,26.0,8.0,0.021,0.022,0.0,0.0,,0.05,,,,0.0,0.0,,,7.6,0.017,5.69,0.0,0.232,,9.0,6.58,,,0.07
0.0,,0.0,,,0.0,6.0,0.0,,0.207,0.0,,0.0,0.0,0.0,,38.0,0.0,0.101,180,25.0,194,43.0,,,0.029,Mulberry,0.0,,,,,,0.0,,,0.0,,6.0,,36.4,1.0,,0.0,18.0,,,0.0,,0.0,,0.0,,39.0,0.05,,12.0,,,87.7,0.0,,0.0,0.39,,"Mulberries, raw",0.69,,,1.7,1.85,9.0,,,7.8,,0.0,,0.6,0.0,,0.06,0.0,,0.041,1.44,0.02,0.027,0.041,,,,,0.0,,,0.0,,136,6.0,0.006,0.001,0.0,0.0,,0.87,,,,0.0,0.0,,,12.3,0.206,8.1,0.0,0.62,,10.0,9.8,,,0.12
0.0,,0.0,,,117,6.0,0.0,,0.0,0.0,,0.0,,0.0,,26.0,0.0,0.027,,,131,39.0,,,0.034,Nectarine,0.0,,,,,,0.0,,,0.0,,6.0,,2.9,21.0,,0.0,9.0,,,0.0,,0.0,,0.0,,2.0,0.025,,0.0,,,89.0,0.0,,,0.28,,"Nectarine, raw",,,,1.5,0.3,199,,,2.0,,0.0,,0.0,0.0,,0.082,0.0,,0.0,1.06,0.0,0.0,0.0,,,,,0.0,,,0.0,,130,6.0,0.0,0.0,0.0,0.0,,0.61,,,,0.0,0.0,,,6.2,0.0,7.89,0.0,1.12,,13.0,9.18,,,0.21
0.015,0.837,0.0,1.66,0.101,0.0,25.0,0.0,0.456,7.84,0.0,0.36,0.0,0.0,0.0,0.0,593,,0.058,2310.0,0.0,660,553,1.47,0.362,0.423,Nut,0.0,0.2,0.928,0.03,113,0.0,0.0,1.8,0.0,0.015,,25.0,,0.5,0.0,0.173,0.138,292,0.05,0.864,0.136,0.393,0.015,5.31,0.0,,37.0,0.417,0.287,0.0,0.951,5.81,5.2,0.0,2.12,,43.8,0.0,"Nuts, cashew nuts, raw",2.54,0.0,1.08,3.3,6.68,0.0,0.508,0.812,34.1,0.0,,,19.9,0.0,23.5,2.2,0.0,0.0,23.5,18.2,3.22,7.78,23.8,1.09,0.046,0.0,0.266,0.015,0.789,0.937,,0.05,22.0,25.0,3.92,0.062,0.0,,0.688,0.9,0.1,0.0,0.0,0.0,0.0,0.0,4.51,,7.78,5.91,,1.06,,12.0,30.2,0.0,9.0,5.78
0.0,,0.0,,,0.0,19.0,0.0,,0.017,0.0,,0.0,,0.0,,29.0,0.0,0.027,,,146,40.0,,,0.046,Onion,0.0,,,,,,0.0,,,0.0,,19.0,,7.4,0.0,,0.0,10.0,,,0.0,,0.004,,0.0,,23.0,0.12,,0.0,,,89.1,0.0,,,0.1,,"Onions, raw",,,,1.7,0.21,1.0,,,0.4,,0.0,,0.5,0.0,,0.039,0.0,,0.013,1.1,0.004,0.042,0.013,,,,,0.0,,,0.0,,4.0,19.0,0.034,0.004,0.0,0.0,,0.02,,,,0.0,0.0,,,6.1,0.013,4.24,0.0,0.116,,4.0,9.34,,,0.17
0.0,,0.0,,,116,30.0,0.0,,0.025,0.0,,0.0,,0.0,,14.0,0.0,0.04,,,181,47.0,,,0.087,Orange,0.0,,,,,,0.0,,,0.0,,30.0,,53.2,11.0,,0.0,10.0,,,0.003,,0.0,,0.0,,40.0,0.06,,11.0,,,86.8,0.0,,,0.12,,"Orange, raw",,,,2.4,0.1,71.0,,,0.0,,0.0,,0.5,0.0,,0.045,0.0,,0.02,0.94,0.0,0.015,0.023,,,,,0.0,,,0.0,,129,30.0,0.013,0.007,0.0,0.0,,0.18,,,,0.0,0.0,,,8.4,0.018,9.35,0.0,0.282,,0.0,11.8,,,0.07
0.002,0.014,0.0,0.04,,589,37.0,0.0,0.005,0.058,0.0,0.01,0.0,0.0,0.0,,10.0,0.0,0.027,179,950,182,43.0,0.016,0.002,0.023,Papaya,0.0,0.01,0.025,0.02,,,0.0,0.049,0.0,0.0,,37.0,,60.9,47.0,,0.0,21.0,4.09,0.191,0.038,,0.013,0.09,0.0,,20.0,0.038,0.008,2.0,0.009,0.0,88.1,0.0,0.01,0.0,0.26,,"Papayas, raw",0.39,0.0,0.015,1.7,0.25,274,0.005,0.01,2.6,,0.0,,0.6,0.0,0.0,0.045,0.0,,0.034,0.47,0.004,0.081,0.072,0.01,,0.0,,0.0,0.008,0.018,0.0,3.73,89.0,37.0,0.06,0.047,1830.0,0.0,0.011,0.3,0.07,0.0,0.0,0.0,0.0,,0.033,6.1,0.011,7.82,0.0,0.357,,8.0,10.8,,,0.08
0.0,,0.0,,,41.0,14.0,0.0,,0.411,0.0,,0.0,,0.0,,68.0,0.0,0.13,,,348,97.0,,,0.0,Passion,0.0,,,,,,0.0,,,0.0,,14.0,,30.0,64.0,,0.0,29.0,,,0.0,,0.0,,0.0,,12.0,0.1,,0.0,,,72.9,0.0,,,0.7,,"Passion fruit, raw",,,,10.4,1.6,743,,,0.7,,0.0,,0.6,0.0,,0.086,0.0,,0.086,2.2,0.014,0.059,0.086,,,,,0.0,,,0.0,,0.0,14.0,0.045,0.001,0.0,0.0,,0.02,,,,0.0,0.0,,,7.6,0.41,11.2,0.0,1.5,,28.0,23.4,,,0.1
0.0,,0.0,,,117,6.0,0.0,,0.086,0.0,,0.0,,0.0,,22.0,0.0,0.031,,,122,42.0,,,0.024,Peach,0.0,,,,,,0.0,,,0.0,,6.0,,4.1,24.0,,0.0,8.0,,,0.002,,0.0,,0.0,,4.0,0.025,,0.0,,,88.3,0.0,,,0.27,,"Peach, raw",,,,1.5,0.34,224,,,3.0,,0.0,,2.1,0.0,,0.078,0.0,,0.065,0.91,0.002,0.019,0.067,,,,,0.0,,,0.0,,132,6.0,0.017,0.002,0.0,0.0,,0.73,,,,0.0,0.0,,,6.1,0.084,8.39,0.0,0.806,,13.0,10.1,,,0.23
0.0,,0.0,,,2.0,7.0,0.0,,0.094,0.0,,0.0,,0.0,,12.0,0.0,0.026,,,116,57.0,,,0.012,Pear,0.0,,,,,,0.0,,,0.0,,7.0,,4.3,1.0,,0.001,7.0,,,0.002,,0.0,,0.0,,9.0,0.029,,1.0,,,84.0,0.0,,,0.14,,"Pear, raw",,,,3.1,0.18,14.0,,,4.4,,0.0,,0.1,0.0,,0.082,0.0,,0.081,0.36,0.003,0.022,0.084,,,,,0.0,,,0.0,,44.0,7.0,0.017,0.001,0.0,0.0,,0.12,,,,0.0,0.0,,,5.1,0.093,9.75,0.0,0.161,,1.0,15.2,,,0.1
0.001,,0.0,,,0.0,8.0,0.0,,0.039,0.0,,0.0,,0.0,,5.0,0.0,0.031,,,182,28.0,,,0.015,Pepino,0.0,,,,,,0.0,,,0.0,,8.0,,21.8,0.0,,0.0,11.0,,,0.0,,0.001,,0.0,,11.0,0.163,,0.0,,,91.8,0.0,,,0.1,,"Cassaba melon, raw",,,,0.9,0.34,0.0,,,2.5,,0.0,,0.4,0.0,,0.06,0.0,,0.002,1.11,0.002,0.025,0.002,,,,,0.0,,,0.0,,26.0,8.0,0.021,0.022,0.0,0.0,,0.05,,,,0.0,0.0,,,7.6,0.017,5.69,0.0,0.232,,9.0,6.58,,,0.07
0.0,,0.0,,,176,23.0,0.0,,0.095,0.0,,0.0,,0.0,,22.0,0.0,0.048,,,188,22.0,,,0.056,Pepper,0.0,,,,,,0.0,,,0.0,,23.0,,97.0,67.0,,0.0,11.0,,,0.001,,0.0,,0.0,,9.0,0.247,,21.0,,,93.3,0.0,,,0.22,,"Pepper, raw, NFS",,,,1.8,0.37,704,,,6.5,,0.0,,0.0,0.0,,0.049,0.0,,0.007,0.91,0.007,0.058,0.008,,,,,0.0,,,0.0,,240,23.0,0.052,0.025,0.0,0.0,,0.79,,,,0.0,0.0,,,5.5,0.07,3.03,0.0,0.655,,3.0,5.13,,,0.17
,,,,,,,,,,,,,,0.0,,,,,,8040.0,,286,,,,Physalis,,,,,,,,,,,,,,8.6,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,"WILDERNESS POETS, INCAN BERRIES, (PHYSALIS PERUVIANA)",,,,10.7,3.86,,,,,,,,,,,,,,,7.14,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,,,,89.0,60.7,,,
0.0,,0.0,,,0.0,18.0,0.0,,0.04,0.0,,0.0,,0.0,,8.0,0.0,0.032,,,109,50.0,,,0.079,Pineapple,0.0,,,,,,0.0,,,0.0,,18.0,,47.8,3.0,,0.0,12.0,,,0.001,,0.0,,0.0,,13.0,0.112,,0.0,,,86.0,0.0,,,0.12,,"Pineapple, raw",,,,1.4,0.29,35.0,,,0.7,,0.0,,0.1,0.0,,0.11,0.0,,0.012,0.54,0.003,0.009,0.013,,,,,0.0,,,0.0,,0.0,18.0,0.005,0.017,0.0,0.0,,0.02,,,,0.0,0.0,,,5.5,0.023,9.85,0.0,0.5,,1.0,13.1,,,0.12
0.0,,0.0,,,407,16.0,0.0,,0.065,0.0,,0.0,,0.0,,20.0,0.0,0.036,,,166,53.0,,,0.058,Pitahaya,0.0,,,,,,0.0,,,0.0,,16.0,,26.7,34.0,,0.0,12.0,,,0.007,,0.002,,0.0,,37.0,0.078,,101,,,85.2,0.0,,,0.31,,"Clementine, raw",,,,1.8,0.15,155,,,0.0,,0.0,,0.1,0.0,,0.042,0.0,,0.053,0.81,0.002,0.039,0.06,,,,,0.0,,,0.0,,138,16.0,0.035,0.018,0.0,0.0,,0.2,,,,0.0,0.0,,,10.2,0.048,10.6,0.0,0.376,,2.0,13.3,,,0.07
0.0,,0.0,,,35.0,5.0,0.0,,0.044,0.0,,0.0,,0.0,,16.0,0.0,0.026,,,157,46.0,,,0.028,Plum,0.0,,,,,,0.0,,,0.0,,5.0,,9.5,17.0,,0.0,7.0,,,0.002,,0.0,,0.0,,6.0,0.029,,0.0,,,87.2,0.0,,,0.28,,"Plum, raw",,,,1.4,0.17,190,,,6.4,,0.0,,0.0,0.0,,0.057,0.0,,0.132,0.7,0.003,0.017,0.134,,,,,0.0,,,0.0,,73.0,5.0,0.014,0.0,0.0,0.0,,0.26,,,,0.0,0.0,,,1.9,0.044,9.92,0.0,0.417,,0.0,11.4,,,0.1
0.006,,0.0,,,0.0,38.0,0.0,,0.079,0.0,,0.0,,0.0,,36.0,0.0,0.053,,,236,83.0,,,0.067,Pomegranate,0.0,,,,,,0.0,,,0.0,,38.0,,10.2,0.0,,0.004,12.0,,,0.012,,0.006,,0.0,,10.0,0.075,,0.0,,,77.9,0.0,,,1.17,,"Pomegranate, raw",,,,4.0,0.3,0.0,,,16.4,,0.0,,0.5,0.0,,0.158,0.0,,0.077,1.67,0.038,0.12,0.093,,,,,0.0,,,0.0,,0.0,38.0,0.07,0.0,0.0,0.0,,0.6,,,,0.0,0.0,,,7.6,0.079,13.7,0.0,0.293,,3.0,18.7,,,0.35
0.0,,0.0,,,6.0,13.0,0.0,,0.036,0.0,,0.0,,0.0,,18.0,0.0,0.031,,,135,42.0,,,0.043,Pomelo,0.0,,,,,,0.0,,,0.0,,13.0,,31.2,58.0,,0.0,9.0,,,0.002,,0.0,,0.0,,22.0,0.053,,3.0,,,88.1,0.0,,,0.14,,"Grapefruit, raw",,,,1.6,0.08,686,,,0.0,,0.0,,0.1,0.0,,0.032,0.0,,0.018,0.77,0.002,0.021,0.02,,,,,0.0,,,0.0,,5.0,13.0,0.018,0.008,1420.0,0.0,,0.13,,,,0.0,0.0,,,7.7,0.029,6.89,0.0,0.204,,0.0,10.7,,,0.07
0.003,,,0.602,,,17.0,,,0.043,,,,0.0,0.0,,38.0,,0.038,243,0.0,413,58.0,,,0.021,Potato,,,,,,,,,,0.001,,17.0,,11.4,0.0,,,23.0,,0.302,0.001,,0.001,,,,30.0,0.239,,,,,83.3,0.0,,0.0,0.1,,"Potatoes, raw, skin",1.61,,,2.5,3.24,,,,,,,,0.3,,,0.423,0.0,,0.001,2.57,0.004,0.026,0.002,,,,,,,,,,,17.0,0.016,0.01,,,,,,,,0.0,0.0,,,,0.032,,,1.03,,10.0,12.4,,,0.35
0.0,,0.0,,,,3.0,0.0,,0.05,0.0,,0.0,,0.0,,17.0,0.0,0.03,238,40.0,197,57.0,,,0.02,Quince,0.0,,,,,,0.0,,,0.0,,3.0,,15.0,2.0,,0.0,8.0,,0.081,0.0,,0.0,,0.0,,11.0,0.04,,,,,83.8,0.0,,0.0,0.1,,"Quinces, raw",0.4,,,1.9,0.7,,,,,,,,0.6,0.0,,0.13,,,0.036,0.4,0.002,0.01,0.036,,,,,0.0,,,,,,3.0,0.007,0.0,,,,,,,,0.0,0.0,,,,0.049,,,0.2,,4.0,15.3,,,0.04
,,,0.343,,0.0,8.0,,,,,,,,0.0,,9.0,,0.022,343,3.0,42.0,82.0,,,0.013,Rambutan,,,,,,,,,,,,8.0,,4.9,0.0,,,7.0,,0.018,,,,,,,22.0,0.02,,0.0,,,78.0,0.0,,0.0,0.21,,"Rambutan, canned, syrup pack",0.23,,,0.9,0.35,2.0,,,,,,,,,,0.066,,,,0.65,,,,,,,,,,,,,,8.0,,,,,,,,,,0.0,0.0,,,,,,,1.35,,11.0,20.9,,,0.08
0.0,,0.0,,,0.0,21.0,0.0,,0.375,0.0,,0.0,,0.0,,29.0,0.0,0.038,,,151,52.0,,,0.032,Raspberry,0.0,,,,,,0.0,,,0.0,,21.0,,26.2,2.0,,0.005,22.0,,,0.0,,0.0,,0.0,,25.0,0.055,,16.0,,,85.8,0.0,,,0.65,,"Raspberries, raw",,,,6.5,0.69,12.0,,,7.8,,0.0,,0.2,0.0,,0.09,0.0,,0.059,1.2,0.004,0.019,0.064,,,,,0.0,,,0.0,,136,21.0,0.016,0.126,0.0,0.0,,0.87,,,,0.0,0.0,,,12.3,0.249,4.42,0.0,0.598,,1.0,11.9,,,0.42
,,,,,,,,,,,,,,,,,,,,,,250,,,,Redcurrant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,"REDCURRANT JELLY, REDCURRANT",,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,0.0,65.0,,,
0.0,,0.0,,,0.0,26.0,0.0,,0.287,0.0,,0.0,,0.0,,34.0,0.0,0.025,,,198,58.0,,,0.027,Salak,0.0,,,,,,0.0,,,0.0,,26.0,,74.7,4.0,,0.0,16.0,,,0.0,,0.0,,0.0,,35.0,0.061,,0.0,,,83.9,0.0,,,0.44,,"Kiwi fruit, raw",,,,3.0,0.24,52.0,,,40.3,,0.0,,0.2,0.0,,0.134,0.0,,0.047,1.06,0.012,0.029,0.047,,,,,0.0,,,0.0,,122,26.0,0.017,0.042,0.0,0.0,,1.3,,,,0.0,0.0,,,7.8,0.246,8.99,0.0,0.37,,5.0,14.0,,,0.14
0.0,,0.0,,,0.0,24.0,0.0,,0.155,0.0,,0.0,,0.0,,24.0,0.0,0.022,,,153,32.0,,,0.024,Strawberry,0.0,,,,,,0.0,,,0.0,,24.0,,58.8,1.0,,0.0,13.0,,,0.001,,0.0,,0.0,,16.0,0.047,,0.0,,,91.0,0.0,,,0.3,,"Strawberries, raw",,,,2.0,0.41,7.0,,,2.2,,0.0,,0.4,0.0,,0.048,0.0,,0.042,0.67,0.003,0.015,0.043,,,,,0.0,,,0.0,,26.0,24.0,0.012,0.065,0.0,0.0,,0.29,,,,0.0,0.0,,,5.7,0.09,4.89,0.0,0.386,,1.0,7.68,,,0.14
0.0,,0.0,0.153,,0.0,7.0,0.0,,0.417,0.0,,0.0,0.0,0.0,,39.0,0.0,0.035,133,114,268,32.0,,,0.044,Tamarillo,0.0,,,,,,0.0,,,0.0,,7.0,,11.7,6.0,,0.0,20.0,,0.15,0.006,,0.0,,0.0,,7.0,0.056,,10.0,,,91.6,0.0,,0.0,1.02,,"Tomatillos, raw",0.55,,,1.9,0.62,63.0,,,10.1,,0.0,,0.5,0.0,,0.079,0.0,,0.152,0.96,0.04,0.139,0.155,,,,,0.0,,,0.0,,467,7.0,0.102,0.016,0.0,0.0,,0.38,,,,0.0,0.0,,,7.6,0.402,3.93,0.0,1.85,,1.0,5.84,,,0.22
,,,,,,,,,,,,,0.0,0.0,,,,,,,50.0,100,,,,Tangelo,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,0.0,0.0,,"TANGELO SORBETTO, TANGELO",,,,0.6,0.06,,,,,,,18.8,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,,,,6.0,25.0,,,
0.0,,0.0,,,0.0,15.0,0.0,,0.083,0.0,,0.0,,0.0,,24.0,0.0,0.019,,,237,18.0,,,0.037,Tomato,0.0,,,,,,0.0,,,0.0,,15.0,,13.7,42.0,,0.0,11.0,,,0.001,,0.0,,0.0,,10.0,0.08,,101,,,94.5,0.0,,,0.2,,"Tomatoes, raw",,,,1.2,0.27,449,,,7.9,,0.0,,0.0,0.0,,0.059,0.0,,0.03,0.88,0.008,0.028,0.031,,,,,0.0,,,0.0,,123,15.0,0.02,0.003,2570.0,0.0,,0.54,,,,0.0,0.0,,,6.7,0.08,2.63,0.0,0.594,,5.0,3.89,,,0.17
0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,63.3,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,3700.0,0.0,0.0,884,0.0,0.0,0.0,Walnut,0.0,,0.0,,,,0.0,0.0,,0.0,176,0.0,,0.0,0.0,,0.4,0.0,,0.0,0.1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,100,,"Oil, walnut",0.0,,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,0.0,,0.0,0.0,,0.0,0.0,,22.2,0.0,2.0,9.1,22.8,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,7.0,10.4,0.0,0.0,0.0,0.4,,,,0.0,0.0,,0.0,0.4,52.9,0.0,0.0,0.0,,0.0,0.0,,,0.0
0.001,0.017,0.0,0.038,,78.0,3.0,0.0,0.006,0.05,0.0,0.0,0.0,0.0,0.0,,11.0,0.0,0.021,127,569,112,30.0,0.018,0.006,0.033,Watermelon,0.0,0.0,0.062,0.0,,,0.0,0.039,0.06,0.001,2.0,3.0,1.5,8.1,28.0,,0.0,10.0,1.58,0.221,0.0,0.002,0.0,0.0,0.0,0.3,7.0,0.045,0.007,0.0,0.015,1.21,91.4,0.0,0.059,0.0,0.15,,"Watermelon, raw",0.25,0.0,0.016,0.4,0.24,303,0.012,0.024,0.1,,0.0,,0.4,0.0,0.0,0.042,0.0,,0.037,0.61,0.006,0.016,0.037,0.016,,0.0,,0.0,0.019,0.01,0.0,3.36,8.0,3.0,0.008,0.0,4530.0,0.0,0.027,0.05,0.0,0.0,0.01,0.0,0.0,,0.063,4.1,0.05,6.2,0.0,0.178,0.0,1.0,7.55,,,0.1
